origin,desc_1,desc_3,roast,agtron
"Boquete growing region, Panama","Bright sweet, citrus-toned. Bergamot, bay leaf, cocoa nib, narcissus, sandalwood in aroma and cup. Juicy, sparkling acidity; plush, syrupy mouthfeel. Long, resonant, flavor-laden finish.","A classic Panama Geisha cup with notes of complex citrus (bergamot), spice-toned florals, and a cocoa nib throughline — deep-toned and multi-layered.Explore Similar CoffeesClick here for more reviews from Lee Dong CoffeeClick here for more information about coffees from PanamaVisit Lee Dong Coffee ",Light,65/81
"Bench-Maji Zone, Southern Ethiopia","Complexly fruit-toned, sweetly fermenty. Star jasmine, strawberry, cocoa nib, bay leaf, wine barrel in aroma and cup. Juicy-bright acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of cocoa-toned strawberry and a hint of wine barrel.","A gently and intentionally fermenty Ethiopia Gesha with floral and berry notes at its heart, supported by crisp cocoa nib tones.Explore Similar CoffeesClick here for more reviews from Lee Dong CoffeeClick here for more information about coffees from EthiopiaVisit Lee Dong Coffee ",Medium-Light,60/77
"Sabanilla de Alajuela, Central Valley, Costa Rica","Delicately fruity, balanced. Passion fruit, dark chocolate, pralines, marjoram, cedar in aroma and cup. Gently sweet-tart acidity; plush, syrupy-smooth mouthfeel. Finish centers around notes of passion fruit and marjoram. ","A tropically fruity, richly chocolaty and sweet herbaceous Costa Rica natural.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from Costa RicaVisit Roadmap CoffeeWorks ",Medium-Light,62/78
"La Libertad, Huehuetenango Department, Guatemala","Richly chocolaty, balanced. Dark chocolate, peach, almond, cedar, lemon-thyme in aroma and cup. Brightly sweet acidity; crisp, lightly satiny mouthfeel. Chocolaty, nut-toned finish with cedar and herb notes.","A balanced, chocolaty washed Guatemala supported by stone fruit and sweet herb notes.Explore Similar CoffeesClick here for more reviews from CoffeelandClick here for more information about coffees from GuatemalaVisit Coffeeland ",Medium-Light,58/79
"Sidamo growing region, south-central Ethiopia","Floral-toned, crisply sweet. Freesia, apricot, baking chocolate, tangerine zest, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of freesia and apricot with undertones of baking chocolate.","A balanced, sweetly-tart washed Ethiopia cup with spicy-sweet floral and bright stone fruit notes throughout.Explore Similar CoffeesClick here for more reviews from Lee Dong CoffeeClick here for more information about coffees from EthiopiaVisit Lee Dong Coffee ",Light,62/80
"Bombe mountains, Sidamo Region, southern Ethiopia","Gently tart, citrus-toned. Ripe orange, lemon balm, cocoa powder, date, fir in aroma and cup. Brisk acidity; full, satiny-smooth mouthfeel. Gently drying finish consolidates to notes of orange zest, fir and cocoa powder.","A delicately fruity, sweetly herbaceous natural-processed Ethiopia cup that foregrounds citrus and aromatic wood notes.Explore Similar CoffeesClick here for more reviews from CoffeelandClick here for more information about coffees from EthiopiaVisit Coffeeland ",Light,65/85
"La Democracia, Huehuetenango, Guatemala","Deep-toned, richly sweet. Dark chocolate, salted caramel, dried persimmon, pistachio, cedar in aroma and cup. Sweet structure with gentle acidity; full, syrupy smooth mouthfeel. Chocolaty finish supported by salted caramel and pistachio.","A flavor-saturated, complex Guatemala Pacamara cup, chocolaty and rich-toned.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,58/76
"La Democracia, Huehuetenango, Guatemala","Richly sweet-savory, cocoa-toned. Cocoa powder, lily, black cherry, fresh-cut oak, agave syrup in aroma and cup. Balanced structure with brisk acidity; crisp, satiny mouthfeel. Finish consolidates to cocoa-toned black cherry and oak.",An understated Guatemala Geisha with cocoa-toned stone fruit and bittersweet florals throughout.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ,Medium-Light,60/74
"Acatenango growing region, Guatemala","Gently sweet-tart, crisply herbaceous. Baking chocolate, green grape, lemon verbena, fresh-cut oak, sugarcane in aroma and cup. Bright, juicy acidity; lightly syrupy mouthfeel. The sweetly herbaceous finish centers around notes of lemon verbena and sugarcane supported by fresh-cut oak.","A confident, pretty washed-process Guatemala Geisha enlivened by crisp chocolate and sweet herb notes throughout the profile.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,62/78
"Coban, Alta Verapaz, Guatemala","Evaluated as espresso. Deep-toned, richly chocolaty. Baking chocolate, pomegranate, marjoram, grapefruit zest, molasses in aroma and small cup. Crisp, lightly satiny mouthfeel; balanced, chocolaty and citrus-toned finish. In cappuccino-scaled milk, baking chocolate and pomegranate notes harmonize nicely.","A classic single-origin Guatemala, sweetly chocolaty and citrusy, primarily intended for espresso.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,52/70
"Coban, Alta Verapaz, Guatemala","Crisp, delicately sweet. Dried pear, caramel, pecan, orange zest, maple syrup in aroma and cup. Sweetly tart with gentle acidity; full, satiny-smooth mouthfeel. The gently crisp finish leads with caramel and notes.","A citrusy, crisply nut-toned cup with a maple syrup-like sweetness and pear undertones.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,58/74
"Antigua, Guatemala","Sweetly citrusy, bright. Orange zest, baking chocolate, agave syrup, freesia, cashew in aroma and cup. Tart-leaning structure with brisk acidity; velvety mouthfeel. The gently drying finish consolidates to notes of baking chocolate and freesia.","A brightly sweet, delicately tart Guatemala Maracaturra complicated by spicy floral notes.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,58/78
"Antigua, Guatemala","Sweet-toned, crisply chocolaty. Baking chocolate, raisin, carnation, cashew, fir in aroma and cup. Sweet-savory structure with brisk acidity; lightly silky mouthfeel. Gently drying, wood-framed finish with hints of carnation and cashew.","A straightforward, pleasingly familiar Guatemala cup: sweet-toned, chocolaty and nutty, with undertones of gentle aromatic wood notes.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,56/72
Ethiopia; Colombia,"Crisply sweet, delicately fruity. Blueberry, baking chocolate, hazelnut orange zest, oak in aroma and cup. Brisk acidity; satiny-smooth mouthfeel. Gently drying finish centered around notes of baking chocolate and oak.","An easygoing blend of natural and washed-process coffees, crisply chocolaty with a lift from sweet berry notes.Explore Similar CoffeesClick here for more reviews from White Rhino Coffee ",Medium-Light,53/70
Brazil; Peru,"Evaluated as espresso. Sweetly nut-toned, caramelly. Dark caramel, almond, pomegranate, cedar, thyme in aroma and small cup. Crisply satiny mouthfeel; caramel- and nut-toned finish. In three parts milk, sweetness is amplified, juxtaposed with a tart pomegranate note.",A richly nut- and caramel-driven espresso complicated by tart fruit and sweet herb notes.Explore Similar CoffeesClick here for more reviews from White Rhino Coffee ,Medium,52/68
"Alotenango, Sacatepequez, Guatemala","Bright, richly sweet-tart. Cocoa nib, nectarine, narcissus, almond, brown sugar in aroma and cup. High-toned, juicy acidity; crisp, satiny mouthfeel. The finish centers around notes of cocoa nib and nectarine.","A juicy-sweet, balanced Guatemala characterized by bright stone fruit and cocoa nib, along with sweet-spicy florals.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,60/74
"Sacatepequez, Guatemala","Crisply sweet-savory. Toffee, tamarind, cedar, almond brittle, candied violet in aroma and cup. Complex, bittersweet structure with juicy acidity; syrupy-smooth mouthfeel. Sweetly tart finish consolidates to notes of tamarind and almond brittle.","A wide-ranging, flavor-laden Guatemala cup with notes of high-toned fruit and sweet florals, balanced by deep nut and aromatic wood tones.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,60/78
"San Cristobal Verapaz, Alta Verapaz, Guatemala","Richly floral and aromatic. Narcissus, black currant, cocoa nib, thyme, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; full, lightly syrupy mouthfeel. The finish leads with notes of narcissus and black currant with undertones of cocoa nib.","A multi-layered, brightly sweet washed Guatemala cup with deep floral and high-toned berry notes.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,57/74
"San Lucas Tolimán, Lake Atitlán, Guatemala","Delicate, sweetly nut-toned. Cashew butter, ginger blossom, fresh-cut fir, caramel, hint of red grape in aroma and small cup. Gentle, round acidity; velvety-smooth mouthfeel. The richly nut-framed finish is supported by notes of ginger blossom and caramel. ","A velvety, sweetly nutty Guatemala with undertones of spicy florals and caramel.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,60/77
"Antigua, Guatemala","Richly sweet, chocolaty. Baking chocolate, hazelnut, golden raisin, gardenia, cedar in aroma and cup. Sweet-toned structure with round acidity; crisp, satiny mouthfeel. Chocolaty finish with undertones of hazelnut and cedar.","A sweet, chocolaty Guatemala Villa Sarchi with undertones of nuts, florals, and rich aromatic wood.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,57/80
"El Progreso, Guatemala","Richly sweet-savory. Butterscotch, thyme, red apple, hop flowers, cedar in aroma and cup. Balanced acidity; full, syrupy mouthfeel. Resonant finish consolidates to notes of red apple and butterscotch with cedar undertones.","A solid Guatemala Pacamara with a range of aromatic and flavor pleasures, from deep butterscotch to crisp apple to earthy-rich cedar.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,58/78
"Antigua, Guatemala","Crisply sweet-tart, pleasingly nutty. Red apple, almond brittle, freesia, lime zest, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, gently nut-toned finish.",A subtly nuanced Guatemala cup with crisp apple and sweet herb notes and undertones of richly sweet almond throughout.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ,Medium-Light,57/74
"Antigua, Guatemala","Crisply nut-toned. Pecan, raisin, sage, brown sugar, fir in aroma and cup. Bittersweet structure with gentle acidity. Chewy, round mouthfeel. Pecan notes prevail in a gently drying finish. ","A brisk, bittersweet Guatemala cup, sweetly raisiny and crisply nut-toned.Explore Similar CoffeesClick here for more reviews from El Gran CafeVisit El Gran Cafe ",Medium-Light,56/72
"Antigua, Guatemala","Sweetly nut-toned. Roasted hazelnut, cedar, cocoa powder, date, daisy in aroma and cup. Bittersweet structure with gentle acidity; crisp, velvety mouthfeel. The gently drying finish consolidates to cocoa-toned cedar.","A friendly, accessible Guatemala cup with pleasing nut and cocoa tones throughout.Explore Similar CoffeesClick here for more reviews from El Gran CafeClick here for more information about coffees from GuatemalaVisit El Gran Cafe ",Medium-Light,55/71
